date,serial_number,model,capacity_bytes,failure,smart_1_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_12_raw,smart_187_raw,smart_188_raw,smart_190_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_195_raw,smart_197_raw,smart_198_raw,smart_199_raw,smart_240_raw,smart_241_raw,smart_242_raw
2023-01-01,ZA100HN7,ST8000DM002,8001563222016,0,185614784.0,8.0,0.0,4001147255.0,57117.0,8.0,0.0,0.0,25.0,13493.0,1.0,34369.0,25.0,185614784.0,0.0,0.0,0.0,57095.0,106151698976.0,467910494248.0
2023-01-02,ZA100HN7,ST8000DM002,8001563222016,0,118723752.0,8.0,0.0,4006992338.0,57141.0,8.0,0.0,0.0,26.0,13497.0,1.0,34381.0,26.0,118723752.0,0.0,0.0,0.0,57119.0,106187788880.0,468054163304.0
2023-01-03,ZA100HN7,ST8000DM002,8001563222016,0,9377080.0,8.0,0.0,4014325955.0,57164.0,8.0,0.0,0.0,26.0,13505.0,1.0,34386.0,26.0,9377080.0,0.0,0.0,0.0,57142.0,106228738128.0,468149047208.0
2023-01-04,ZA100HN7,ST8000DM002,8001563222016,0,193185608.0,8.0,0.0,4019072731.0,57188.0,8.0,0.0,0.0,26.0,13509.0,1.0,34426.0,26.0,193185608.0,0.0,0.0,0.0,57166.0,106271931704.0,468289662160.0
2023-01-05,ZA100HN7,ST8000DM002,8001563222016,0,217807680.0,8.0,0.0,4023469414.0,57212.0,8.0,0.0,0.0,26.0,13514.0,1.0,34454.0,26.0,217807680.0,0.0,0.0,0.0,57190.0,106318450296.0,468513357272.0
2023-01-06,ZA100HN7,ST8000DM002,8001563222016,0,199835120.0,8.0,0.0,4028309180.0,57235.0,8.0,0.0,0.0,25.0,13521.0,1.0,34470.0,25.0,199835120.0,0.0,0.0,0.0,57213.0,106356860368.0,468704258352.0
2023-01-07,ZA100HN7,ST8000DM002,8001563222016,0,205230456.0,8.0,0.0,4033679700.0,57259.0,8.0,0.0,0.0,26.0,13526.0,1.0,34476.0,26.0,205230456.0,0.0,0.0,0.0,57237.0,106401339128.0,468912387504.0
2023-01-08,ZA100HN7,ST8000DM002,8001563222016,0,200100456.0,8.0,0.0,4038942926.0,57283.0,8.0,0.0,0.0,26.0,13533.0,1.0,34503.0,26.0,200100456.0,0.0,0.0,0.0,57261.0,106447854096.0,469105323712.0
2023-01-09,ZA100HN7,ST8000DM002,8001563222016,0,204046536.0,8.0,0.0,4044522267.0,57307.0,8.0,0.0,0.0,26.0,13540.0,1.0,34521.0,26.0,204046536.0,0.0,0.0,0.0,57285.0,106489613904.0,469311930752.0
2023-01-10,ZA100HN7,ST8000DM002,8001563222016,0,86231040.0,8.0,0.0,4051932410.0,57330.0,8.0,0.0,0.0,26.0,13546.0,1.0,34522.0,26.0,86231040.0,0.0,0.0,0.0,57309.0,106526092976.0,469402606768.0
2023-01-01,ZA100HNW,ST8000DM002,8001563222016,0,40970200.0,5.0,8.0,3466938469.0,57235.0,5.0,0.0,0.0,23.0,16535.0,1.0,70819.0,23.0,40970200.0,0.0,0.0,0.0,57207.0,108941641352.0,419267603260.0
2023-01-02,ZA100HNW,ST8000DM002,8001563222016,0,93626992.0,5.0,8.0,3471991300.0,57259.0,5.0,0.0,0.0,23.0,16535.0,1.0,70850.0,23.0,93626992.0,0.0,0.0,0.0,57231.0,108976288096.0,419531048364.0
